Title,First_air_date,End_date,Rating,Genre,Status,Network,Summary
Foundation,2021,now,7.7,"Drama, Science-Fiction, Mystery",Running; returning 2027,Apple TV,"When revolutionary Dr. Hari Seldon predicts the impending fall of the Empire, he and a band of loyal followers venture to the far reaches of the galaxy to establish The Foundation in an attempt to rebuild and preserve the future of civilization. Enraged by Hari's claims, the ruling Cleons – a long line of emperor clones – fear their grasp on the galaxy may be weakening as they're forced to reckon with the potential reality of losing their legacy forever."
The Rookie,2018,now,8,"Drama, Comedy, Crime",Running; returning 2026,,"The Rookie is inspired by a true story. John Nolan is the oldest rookie in the LAPD. At an age where most are at the peak of their career, Nolan cast aside his comfortable, small town life and moved to L.A. to pursue his dream of being a cop. Now, surrounded by rookies twenty years his junior, Nolan must navigate the dangerous, humorous and unpredictable world of a ""young"" cop, determined to make his second shot at life count."
Only Murders in the Building,2021,now,6.7,"Comedy, Crime, Mystery",To Be Determined,,Only Murders in the Building follows three New Yorkers who find they have a mutual interest in solving true crime – but limit their amateur sleuthing to only murders in their building.
Star Trek: Strange New Worlds,2022,now,7.9,"Action, Adventure, Science-Fiction",Running; returning 2026,Paramount+,"Star Trek: Strange New Worlds follows Captain Pike, Science Officer Spock and Number One in the decade before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy."
Law & Order: Special Victims Unit,1999,now,7.9,"Drama, Crime, Legal",Running,,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories."
Alien: Earth,2025,now,7.4,"Horror, Science-Fiction, Thriller",To Be Determined,,"When the mysterious deep space research vessel USCSS Maginot crash-lands on Earth, Wendy and a ragtag group of tactical soldiers make a fateful discovery that puts them face-to-face with the planet's greatest threat."
Chicago Med,2015,now,7.8,"Drama, Medical",Running,,"An emotional thrill ride through the day-to-day chaos of the city's newest state-of-the-art trauma center and into the lives of the courageous doctors, nurses and staff who hold it all together. This is one of those days."
High Potential,2024,now,7.4,"Drama, Crime, Mystery",Running,,"High Potential follows Morgan, a single mom with an exceptional mind, whose unconventional knack for solving crimes leads to an unusual and unstoppable partnership with a by-the-book seasoned detective."
Tracker,2024,now,7.4,Drama,Running,,"Tracker features lone-wolf survivalist Colter Shaw, who roams the country as a ""reward seeker,"" using his expert tracking skills to help private citizens and law enforcement to solve all manner of mysteries while contending with his own fractured family."
Peacemaker,2022,now,7.8,"Comedy, Action, Science-Fiction",To Be Determined,HBO Max,"After discovering an alternate and more desirable world, Peacemaker is forced to face his traumatic past and take the future into his own hands."
Mayor of Kingstown,2021,now,7.9,Drama,Running,Paramount+,"Mayor of Kingstown is set in a small Michigan town where the only industry remaining are federal, state, and private prisons, the story follows the McLusky family, the power brokers between the police, criminals, inmates, prison guards and politicians, in a city completely dependent on prisons and the prisoners they contain. It is a stark and brutal look at the business of incarceration."
Reacher,2022,now,8.2,"Drama, Action, Thriller",Running; returning 2026,Prime Video,"Reacher follows Jack Reacher, a veteran military police investigator who has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served. When Reacher arrives in the small town of Margrave, Georgia, he finds a community grappling with its first homicide in 20 years. The cops immediately arrest him and eyewitnesses claim to place Reacher at the scene of the crime. While he works to prove his innocence, a deep-seated conspiracy begins to emerge, one that will require Reacher's keen mind and hard-hitting fists to deal with. One thing above all is for sure: They picked the wrong guy to take the fall."
Silo,2023,now,8.1,"Drama, Science-Fiction, Mystery",Running; returning 2026,Apple TV,"In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo."
The Morning Show,2019,now,7,Drama,Running,Apple TV,"Nominated for three Golden Globes®, this unapologetically candid drama looks at the modern workplace through the lens of the people who help America wake up. Pull back the curtain on early morning TV."
The Last of Us,2023,now,8,"Drama, Action, Horror",Running; returning 2027,,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
Wednesday,2022,now,8,"Comedy, Mystery, Supernatural",Running; returning 2026,Netflix,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates a murder spree while making new friends — and foes — at Nevermore Academy."
House of the Dragon,2022,now,7.7,"Drama, Action, Fantasy",Running; returning 2026,,"Set 200 years before the events of Game of Thrones, House of the Dragon tells the history of House Targaryen as they fight through a civil war."
FROM,2022,now,7.8,"Drama, Horror, Science-Fiction",Running; returning 2026,,"FROM unravels the mystery of a nightmarish town that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down. In season two, hidden truths about the nature and terrifying origins of the town begin to emerge, even as life for its residents is plunged into chaos by the arrival of mysterious newcomers."
Last Week Tonight with John Oliver,2014,now,7.8,Comedy,Running,,"On Last Week Tonight with John Oliver, John Oliver presents a satirical look at the week in news, politics and current events."
Ghosts,2021,now,7,"Comedy, Supernatural",Running,,"Samantha and Jay throw caution to the wind when they convert their recently inherited country estate into a bed-and-breakfast. Call it mislaid plans. Not only is the place falling apart, but it's also inhabited by spirits of previous residents -- whom only Samantha can see and hear. Ghosts spins the funny, heartfelt story about a newfound dream that reveals connection and self-discovery aren't just for the living."
Criminal Minds,2005,now,8.1,"Drama, Crime, Thriller",Running; returning 2026,Paramount+,"Criminal Minds revolves around an elite team of FBI profilers who analyze the country's most twisted criminal minds, anticipating their next moves before they strike again."
The Walking Dead: Daryl Dixon,2023,now,7.4,"Drama, Action, Horror",Running; returning 2026,,"The Walking Dead: Daryl Dixon is a spinoff series set in The Walking Dead Universe that centers around the eponymous character. Daryl washes ashore in France, raising the ire of a splintered but growing autocratic movement centered in Paris and endangering a young boy at the heart of a benevolent religious movement."
3 Body Problem,2024,now,7.5,"Drama, Science-Fiction, Thriller",Running; returning 2026,Netflix,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges."
Blue Bloods,2010,2024,8.1,"Drama, Crime",Ended,,"Blue Bloods is a drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief. A source of pride and concern for Frank is his eldest son Danny, a seasoned detective, family man and Iraq War vet who on occasion uses dubious tactics to solve cases with his loyal and tough partner, Detective Jackie Curatola. The Reagan women in the family include Erin, a N.Y. Assistant D.A., who also serves as the legal compass for her siblings and father, and single parent to her teenage daughter Nicky; and Linda, Danny's supportive wife. Jamie is the youngest Reagan, a recent grad of Harvard Law and the family's ""golden boy."" Unable to deny the family tradition, Jamie has decided to give up a lucrative future in law and follow in the family footsteps as a cop."
Outlander,2014,now,7.9,"Adventure, Romance, Science-Fiction",Running; returning 2026,,"Outlander follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.The Outlander series, adapted from Diana Gabaldon's international best-selling books, spans the genres of romance, science fiction, history and adventure into one epic tale."
The Diplomat,2023,now,7.9,"Drama, Thriller",Running; returning 2026,Netflix,"In the midst of an international crisis, a career diplomat lands in a high-profile job she's unsuited for, with tectonic implications for her marriage and her political future."
The Mandalorian,2019,now,8.5,"Action, Adventure, Science-Fiction",Running,Disney+,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic..."
Person of Interest,2011,2016,8.8,"Action, Crime, Science-Fiction",Ended,,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you."
Andor,2022,2025,8,"Science-Fiction, Thriller, Espionage",Ended,Disney+,"Andor explores a new perspective from the Star Wars galaxy, focusing on Cassian Andor's journey to discover the difference he can make. The series brings forward the tale of the burgeoning rebellion against the Empire and how people and planets became involved. It's an era filled with danger, deception and intrigue where Cassian will embark on the path that is destined to turn him into a rebel hero."
Shōgun,2024,now,8.5,"Drama, Adventure, History",Running,,"Shōgun is set in Japan in the year 1600 at the dawn of a century-defining civil war. Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village."
Black Mirror,2011,now,8.4,"Drama, Science-Fiction, Thriller",To Be Determined,Netflix,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone--a black mirror of our 21st Century existence. Black Mirror is a contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world."
Hijack,2023,now,7.6,Thriller,Running; returning January 2026,Apple TV,"Told in real time, Hijack is a tense thriller that follows the journey of a hijacked plane as it makes its way to London over a seven-hour flight, as authorities on the ground scramble for answers. Sam Nelson is an accomplished negotiator in the business world who needs to step up and use all his guile to try and save the lives of the passengers — but his high-risk strategy could be his undoing."
Band of Brothers,2001,2001,9,"Drama, Action, War",Ended,,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name."
Landman,2024,now,8.2,Drama,Running; returning November 2025,Paramount+,"Set in the proverbial boomtowns of West Texas, Landman is a modern day tale of fortune seeking in the world of oil rigs. The series is an upstairs/downstairs story of roughnecks and wildcat billionaires fueling a boom so big, it's reshaping our climate, our economy and our geopolitics."
Lioness,2023,now,7.6,"Drama, Thriller, Espionage",Running; returning 2026,Paramount+,"Lioness, inspired by an actual U.S. Military program, follows the life of Joe while she attempts to balance her personal and professional life as the tip of the CIA's spear in the war on terror. The Lioness Program, overseen by Kaitlyn Meade and Donald Westfield, enlists an aggressive Marine Raider named Cruz to operate undercover alongside Joe among the power brokers of State terrorism in the CIA's efforts to thwart the next 9/11."
The Day of the Jackal,2024,now,7.9,Thriller,Running,Now,"The Day of the Jackal follows an unrivaled and highly elusive lone assassin, the Jackal, who makes his living carrying out hits for the highest fee. But following his latest kill, he meets his match in a tenacious British intelligence officer who starts to track down the Jackal in a thrilling cat-and-mouse chase across Europe, leaving destruction in its wake."
Star Trek: Starfleet Academy,2026,now,,"Drama, Science-Fiction",In Development,Paramount+,"Star Trek: Starfleet Academy is set in the 32nd century, a time period in the far-future of the Star Trek franchise where Starfleet and the United Federation of Planets are recovering from a cataclysmic event, as depicted in Star Trek: Discovery. Indroduces viewers to a young group of cadets who come together to pursue a common dream of hope and optimism. Under the watchful and demanding eyes of their instructors, they discover what it takes to become Starfleet officers as they navigate blossoming friendships, explosive rivalries, first loves and a new enemy that threatens both the Academy and the Federation itself."
Supernatural,2005,2020,8.4,"Drama, Action, Supernatural",Ended,,"This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way."
Elsbeth,2024,now,7.4,"Drama, Crime",Running,,"Elsbeth follows Elsbeth Tascioni, an astute but unconventional attorney who utilizes her singular point of view to make unique observations and corner brilliant criminals alongside the NYPD. After leaving her successful legal career in Chicago to tackle a new investigative role in New York City, Elsbeth finds herself jockeying with the toast of the NYPD, Captain C.W. Wagner, a charismatic and revered leader. Working alongside Elsbeth is Officer Kaya Blanke, a stoic and ethical officer who quickly develops an appreciation for Elsbeth's insightful and offbeat ways."
Bob's Burgers,2011,now,8,"Comedy, Family",Running,,"The series follows Bob who runs Bob's Burgers, with the help of his wife and their three kids. Bob has big ideas about burgers, but the rest of the clan falls short on service. Despite the greasy counters and lousy location, the Belchers are determined to make every ""Grand Re-Re-Re-opening"" a success. Bob's wife, Linda, stands by her man and often does so by bursting into song. Their eldest daughter, 13-year-old Tina has a slight obsession with boys and zombies. Middle child Gene is an aspiring musician with a thirst for life. Louise is the bunny ears-wearing youngest daughter with an off-kilter sense of humor that makes her somewhat of a liability in the kitchen – and with the public."
The Lord of the Rings: The Rings of Power,2022,now,7.1,"Drama, Adventure, Fantasy",Running; returning 2026,Prime Video,"Set thousands of years before the events of The Lord of the Rings, this epic drama follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
Fire Country,2022,now,6.3,"Drama, Action",Running,,"In Fire Country, seeking redemption and a shortened prison sentence, young convict Bode Donovan joins a firefighting program that returns him to his small Northern California hometown, where he and other inmates work alongside elite firefighters to extinguish massive blazes across the region."
The Terminal List,2022,now,7.7,"Drama, Action, Thriller",Running; returning 2026,Prime Video,"Based on the best-selling novel by Jack Carr, The Terminal List follows James Reece after his entire platoon of Navy SEALs is ambushed during a high-stakes covert mission. Reece returns home to his family with conflicting memories of the event and questions about his culpability. However, as new evidence comes to light, Reece discovers dark forces working against him, endangering not only his life but the lives of those he loves."
For All Mankind,2019,now,7.5,"Drama, Science-Fiction",Running; returning 2025,Apple TV,"Imagine a world where the global space race never ended. This thrilling ""what if"" take on history from Ronald D. Moore (Outlander, Battlestar Galactica) spotlights the high-stakes lives of NASA astronauts and their families."
Fargo,2014,now,8.7,"Drama, Comedy, Crime",To Be Determined,,"Fargo is a seasonal anthology crime drama with some dark comical elements, inspired by the film Fargo written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring classic."
Matlock,2024,now,7.6,"Drama, Mystery, Legal",Running,,"After achieving success in her younger years, the brilliant septuagenarian Madeline Matlock rejoins the work force at a prestigious law firm where she uses her unassuming demeanor and wily tactics to win cases and expose corruption from within."
Dune: Prophecy,2024,now,7,"Drama, Science-Fiction",Running; returning 2026,,"From the expansive universe of Dune, 10,000 years before the ascension of Paul Atreides, Dune: Prophecy follows two Harkonnen sisters as they combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit."
Family Guy,1999,now,7.6,"Comedy, Family",Running; returning 2026,,"Family Guy follows Peter Griffin the endearingly ignorant dad, and his hilariously offbeat family of middle-class New Englanders in Quahog, RI. Lois is Peter's wife, a stay-at-home mom with no patience for her family's antics. Then there are their kids: 18-year-old Meg is an outcast at school and the Griffin family punching bag; 13-year-old Chris is a socially awkward teen who doesn't have a clue about the opposite sex; and one-year-old Stewie is a diabolically clever baby whose burgeoning sexuality is very much a work in progress. Rounding out the Griffin household is Brian the family dog and a ladies' man who is one step away from AA."
The Walking Dead,2010,2022,7.9,"Drama, Action, Horror",Ended,,"The Walking Dead tells the story of the months and years that follow after a zombie apocalypse. It follows a group of survivors, led by former police officer Rick Grimes, who travel in search of a safe and secure home. As the world overrun by the dead takes its toll on the survivors, their interpersonal conflicts present a greater danger to their continuing survival than the walkers that roam the country. Over time, the characters are changed by the constant exposure to death and some grow willing to do anything to survive.Based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard."
Dark Matter,2024,now,7.4,"Science-Fiction, Thriller, Mystery",Running; returning 2025,Apple TV,"Hailed as one of the best sci-fi novels of the decade, Dark Matter is a story about the road not taken. The series follows Jason Dessen, a physicist, professor, and family man who – one night while walking home on the streets of Chicago – is abducted into an alternate version of his life. Wonder quickly turns to nightmare when he tries to return to his reality amid the multiverse of lives he could have lived. In this labyrinth of mind-bending realities, he embarks on a harrowing journey to get back to his true family and save them from the most terrifying, unbeatable foe imaginable: himself."
Task,2025,2025,7.3,"Drama, Crime",Ended,,Task is set in the working class suburbs outside of Philadelphia and follows an FBI agent as he heads a Task Force to put an end to a string of drug-house robberies led by an unsuspecting family man.
Dexter: Resurrection,2025,now,8.8,"Drama, Crime, Mystery",Running; returning 2026,Paramount+,"Dexter Morgan awakens from a coma and sets out for New York City, determined to find Harrison and make things right. But when Miami Metro's Angel Batista arrives with questions, Dexter realizes his past is catching up to him fast."
NCIS: Origins,2024,now,7.2,"Drama, Action, Crime",Running,,"In NCIS: Origins, young Leroy Jethro Gibbs starts his career as a newly minted special agent at the fledgling NCIS Camp Pendleton office where he forges his place on a gritty, ragtag team led by NCIS legend Mike Franks."
IT: Welcome to Derry,2025,now,7.8,Horror,Running,,"Taking place in the ‘60s, the show explores the origins of the curse that would haunt the small Maine town for the next 27 years — as well as the origin story of Pennywise the Clown."
NCIS: Tony & Ziva,2025,now,6.8,"Drama, Action",To Be Determined,Paramount+,"Tony and Ziva have been raising their daughter, Tali, together. When Tony's security company is attacked, they must go on the run across Europe, try to figure out who is after them and maybe even learn to trust each other again so that they can finally have their unconventional happily ever after."
MobLand,2025,now,8,"Drama, Crime",Running; returning 2026,Paramount+,"With the most powerful clients in Europe, MobLand will see family fortunes and reputations at risk, odd alliances unfold, and betrayal around every corner; and while the family might be London's most elite fixers today, the nature of their business means there is no guarantee what's in store tomorrow.MobLand follows two generations of gangsters, the businesses they run, the complex relationships they weave and the man they call upon to fix their problem."
NCIS: Sydney,2023,now,7.1,"Drama, Crime",Running,Paramount+,"With rising international tensions in the Indo-Pacific, a brilliant and eclectic team of U.S. NCIS agents and the Australian Federal Police (AFP) are grafted into a multinational taskforce to keep naval crimes in check in the most contested patch of ocean on the planet."
Dark Winds,2022,now,7.4,"Crime, Thriller, Mystery",Running; returning February 2026,,"Based on the iconic Leaphorn &amp; Chee book series by Tony Hillerman, Dark Winds is a psychological thriller that follows two Navajo police officers in the 1970s Southwest, as their search for clues in a grisly double murder case forces them to challenge their own spiritual beliefs and come to terms with the trauma of their pasts."
Taboo,2017,now,8.3,"Drama, Thriller, Mystery",Running; returning 2026,,"1814: James Keziah Delaney returns to London from Africa and is encircled by conspiracy, murder and betrayal."
The Pitt,2025,now,8.6,"Drama, Medical",Running; returning January 2026,HBO Max,"The Pitt is a realistic examination of the challenges facing healthcare workers in today's America as seen through the lens of the frontline heroes working in a modern-day hospital in Pittsburgh, Pennsylvania. Each episode follows an hour of Dr. Robby's 15-hour shift as the chief attendant in Pittsburgh Trauma Medical Hospital's emergency room."
Law & Order,1990,now,7.3,"Drama, Crime, Legal",Running,,"In the criminal justice system, the people are represented by two separate, yet equally important, groups: the police, who investigate crime; and the district attorneys, who prosecute the offenders. These are their stories."
Survivor,2000,now,7.3,Adventure,Running,,"Eighteen to twenty castaways will compete against each other on Survivor. All castaways will compete to outwit, outplay, outlast and ultimately be crowned Sole Survivor."
A Knight of the Seven Kingdoms,2026,now,,"Drama, Action, Fantasy",In Development; premieringJanuary 2026,,"A century before the events of Game of Thrones, two unlikely heroes wandered Westeros... a young, naïve but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the memory of the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits all await these improbable and incomparable friends."
Severance,2022,now,7.6,"Drama, Science-Fiction, Mystery",Running; returning 2026,Apple TV,"Mark Scout leads a team at Lumon Industries, whose employees have undergone a severance procedure, which surgically divides their memories between their work and personal lives. This daring experiment in ""work-life balance"" is called into question as Mark finds himself at the center of an unraveling mystery that will force him to confront the true nature of his work… and of himself."
American Horror Story,2011,now,7.5,"Drama, Horror, Thriller",Running,,"American Horror Story is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season."
Shrinking,2023,now,7.9,Comedy,Running; returning January 2026,Apple TV,"Shrinking follows a grieving therapist who starts to break the rules and tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge, tumultuous changes to people's lives… including his own."
The Night Agent,2023,now,7.8,"Action, Thriller, Mystery",Running; returning 2026,Netflix,"The Night Agent is a sophisticated, character-based, action-thriller centering on a low-level FBI Agent who works in the basement of the White House, manning a phone that never rings — until the night that it does, propelling him into a fast-moving and dangerous conspiracy that ultimately leads all the way to the Oval Office."
Murdoch Mysteries,2008,now,8,"Drama, Crime, Mystery",Running,,"Set in Toronto at the dawn of the 20th century, Murdoch Mysteries is a one-hour drama series that explores the intriguing world of William Murdoch, a methodical and dashing detective who pioneers innovative forensic techniques to solve some of the city's most gruesome murders. Murdoch's colleagues include the love of his life, coroner and psychiatrist Dr. Julia Ogden, a staunch ally who shares the detective's fascination for science; Constable George Crabtree, Murdoch's eager but sometimes naïve right-hand man; Inspector Brackenreid, Murdoch's skeptical yet reluctantly supportive boss; and coroner Dr. Emily Grace, Dr. Ogden's protégé."
The Terminal List: Dark Wolf,2025,now,7.6,"Drama, Thriller, Espionage",To Be Determined,Prime Video,The Terminal List: Dark Wolf is a prequel series with an origin story that follows Ben Edwards throughout his journey from the Navy SEALs to the clandestine side of CIA Special Operations. The series is an espionage thriller that explores the darker side of warfare and the human cost that comes with it.
The Last Frontier,2025,now,7.6,"Drama, Crime",Running,Apple TV,"When a prison transport plane suspiciously crashes near a rugged Alaskan town, the region's U.S. marshal ignites a manhunt for dozens of violent inmates—and the criminal mastermind he believes is behind it all."
Anne Rice's Mayfair Witches,2023,now,6,"Drama, Fantasy, Supernatural",Running; returning 2027,,"Anne Rice's Mayfair Witches centers on an intuitive young neurosurgeon who discovers that she is the unlikely heir to a family of witches. As she grapples with her newfound powers, she must contend with a sinister presence that has haunted her family for generations."
The Lincoln Lawyer,2022,now,7.9,"Drama, Crime, Legal",Running; returning 2026,Netflix,"Mickey Haller, an iconoclastic idealist, runs his law practice out of the back seat of his Lincoln Town Car, as he takes on cases big and small across the expansive city of Los Angeles."
1923,2022,2025,8,"Drama, Western",Ended,Paramount+,"1923 focuses on the Dutton family's next two generations as they struggle to survive historic drought, lawlessness and prohibition, and an epidemic of cattle theft; all battled beneath the cloud of Montana's great depression, which preceded the nation by almost a decade."
